"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11126","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-08-05","passed","2026-08-05","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","19712","Authenticate Admin User","setup-admin-user","2026-08-05","passed","2026-08-05","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","5118","verify page title is displayed correctly","admin-user","2026-08-05","passed","2026-08-05","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","15017","should load dashboard as the default page after successful login","admin-user","2026-08-05","passed","2026-08-05","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
