"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29830","Authenticate Admin User","setup-admin-user","2026-05-13","passed","2026-05-13","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","21869","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-05-13","passed","2026-05-13","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","6716","verify page title is displayed correctly","admin-user","2026-05-13","passed","2026-05-13","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","20368","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-05-13","passed","2026-05-13","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","17587","should load dashboard as the default page after successful login","admin-user","2026-05-13","passed","2026-05-13","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","21350","should display invalid credentials error when submitting login form with incorrect password","admin-user","2026-05-13","passed","2026-05-13","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","10798","should display required field errors when submitting login form without credentials","admin-user","2026-05-13","passed","2026-05-13","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","21353","should display invalid credentials error when submitting login form with incorrect username and password","admin-user","2026-05-13","passed","2026-05-13","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
