"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11924","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-06-03","passed","2026-06-03","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","26505","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-06-03","passed","2026-06-03","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","19689","should display invalid credentials error when submitting login form with incorrect username and password","admin-user","2026-06-03","passed","2026-06-03","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","15746","should display required field errors when submitting login form without credentials","admin-user","2026-06-03","passed","2026-06-03","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","21635","should load dashboard as the default page after successful login","admin-user","2026-06-03","passed","2026-06-03","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","32531","Authenticate Admin User","setup-admin-user","2026-06-03","passed","2026-06-03","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","6571","verify page title is displayed correctly","admin-user","2026-06-03","passed","2026-06-03","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","26050","should display invalid credentials error when submitting login form with incorrect password","admin-user","2026-06-03","passed","2026-06-03","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
