"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2677","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-04-23","passed","2026-04-23","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","3136","should load dashboard as the default page after successful login","admin-user","2026-04-23","passed","2026-04-23","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","2206","verify page title is displayed correctly","admin-user","2026-04-23","passed","2026-04-23","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","4034","should display invalid credentials error when submitting login form with incorrect password","admin-user","2026-04-23","passed","2026-04-23","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","2664","should display required field errors when submitting login form without credentials","admin-user","2026-04-23","passed","2026-04-23","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","4370","Authenticate Admin User","setup-admin-user","2026-04-23","passed","2026-04-23","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","3748","should display invalid credentials error when submitting login form with incorrect username and password","admin-user","2026-04-23","passed","2026-04-23","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","3645","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-04-23","passed","2026-04-23","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
