"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2599","should display required field errors when submitting login form without credentials","admin-user","2026-05-05","passed","2026-05-05","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","3759","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-05-05","passed","2026-05-05","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","4426","should load dashboard as the default page after successful login","admin-user","2026-05-05","passed","2026-05-05","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","5388","should display invalid credentials error when submitting login form with incorrect password","admin-user","2026-05-05","passed","2026-05-05","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","5700","Authenticate Admin User","setup-admin-user","2026-05-05","passed","2026-05-05","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","5678","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-05-05","passed","2026-05-05","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","4059","should display invalid credentials error when submitting login form with incorrect username and password","admin-user","2026-05-05","passed","2026-05-05","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","2767","verify page title is displayed correctly","admin-user","2026-05-05","passed","2026-05-05","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
