"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3165","should load dashboard as the default page after successful login","admin-user","2026-07-19","passed","2026-07-19","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","5623","Authenticate Admin User","setup-admin-user","2026-07-19","passed","2026-07-19","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","1993","verify page title is displayed correctly","admin-user","2026-07-19","passed","2026-07-19","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","3731","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-07-19","passed","2026-07-19","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
