"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3387","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-06-13","passed","2026-06-13","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","4027","Authenticate Admin User","setup-admin-user","2026-06-13","passed","2026-06-13","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","2745","should load dashboard as the default page after successful login","admin-user","2026-06-13","passed","2026-06-13","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","1952","verify page title is displayed correctly","admin-user","2026-06-13","passed","2026-06-13","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
