"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4288","should display invalid credentials error when submitting login form with incorrect password","admin-user","2026-04-28","passed","2026-04-28","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","2900","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-04-28","passed","2026-04-28","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","5413","Authenticate Admin User","setup-admin-user","2026-04-28","passed","2026-04-28","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","4008","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-04-28","passed","2026-04-28","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","3581","should display required field errors when submitting login form without credentials","admin-user","2026-04-28","passed","2026-04-28","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","2774","should load dashboard as the default page after successful login","admin-user","2026-04-28","passed","2026-04-28","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","2093","verify page title is displayed correctly","admin-user","2026-04-28","passed","2026-04-28","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","4685","should display invalid credentials error when submitting login form with incorrect username and password","admin-user","2026-04-28","passed","2026-04-28","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
