"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1903","verify page title is displayed correctly","general-user","2026-05-05","passed","2026-05-05","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","3111","should display required field errors when submitting login form without credentials","general-user","2026-05-05","passed","2026-05-05","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","6844","should display invalid credentials error when submitting login form with incorrect username and password","general-user","2026-05-05","passed","2026-05-05","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","6040","Authenticate General User","setup-general-user","2026-05-05","passed","2026-05-05","","layers/ui/authentication/Auth.general-user.setup.ts","",""
"","5634","should display invalid credentials error when submitting login form with incorrect password","general-user","2026-05-05","passed","2026-05-05","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","4555","should load dashboard as the default page after successful login","general-user","2026-05-05","passed","2026-05-05","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","5492","should display invalid credentials error when submitting login form with incorrect username","general-user","2026-05-05","passed","2026-05-05","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","2833","should display invalid credentials error when submitting login form with incorrect username","general-user","2026-05-05","passed","2026-05-05","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
