"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6224","should display required field errors when submitting login form without credentials","admin-user","2026-07-01","passed","2026-07-01","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","4552","verify page title is displayed correctly","admin-user","2026-07-01","passed","2026-07-01","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","16032","should display invalid credentials error when submitting login form with incorrect username and password","admin-user","2026-07-01","passed","2026-07-01","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","9420","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-07-01","passed","2026-07-01","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","11748","should display invalid credentials error when submitting login form with incorrect password","admin-user","2026-07-01","passed","2026-07-01","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","16354","Authenticate Admin User","setup-admin-user","2026-07-01","passed","2026-07-01","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","10433","should load dashboard as the default page after successful login","admin-user","2026-07-01","passed","2026-07-01","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","12039","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-07-01","passed","2026-07-01","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
