"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8336","should display required field errors when submitting login form without credentials","admin-user","2026-06-24","passed","2026-06-24","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","16489","should display invalid credentials error when submitting login form with incorrect password","admin-user","2026-06-24","passed","2026-06-24","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","15541","should display invalid credentials error when submitting login form with incorrect username and password","admin-user","2026-06-24","passed","2026-06-24","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","4574","verify page title is displayed correctly","admin-user","2026-06-24","passed","2026-06-24","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","15279","Authenticate Admin User","setup-admin-user","2026-06-24","passed","2026-06-24","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","15079","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-06-24","passed","2026-06-24","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","18507","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-06-24","passed","2026-06-24","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","15127","should load dashboard as the default page after successful login","admin-user","2026-06-24","passed","2026-06-24","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
