"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should display invalid credentials error when submitting login form with incorrect username and password","admin-user","2026-08-12","skipped","2026-08-12","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","142654","Authenticate Admin User","setup-admin-user","2026-08-12","broken","2026-08-12","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","10753","should load dashboard as the default page after successful login","admin-user","2026-08-12","passed","2026-08-12","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","1","should display required field errors when submitting login form without credentials","admin-user","2026-08-12","skipped","2026-08-12","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","10176","should display invalid credentials error when submitting login form with incorrect password","admin-user","2026-08-12","passed","2026-08-12","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","11923","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-08-12","passed","2026-08-12","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","11650","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-08-12","passed","2026-08-12","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","5228","verify page title is displayed correctly","admin-user","2026-08-12","passed","2026-08-12","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
