"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10056","should display invalid credentials error when submitting login form with incorrect username and password","admin-user","2026-09-23","passed","2026-09-23","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","12396","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-09-23","passed","2026-09-23","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","14108","Authenticate Admin User","setup-admin-user","2026-09-23","passed","2026-09-23","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","8913","should display required field errors when submitting login form without credentials","admin-user","2026-09-23","passed","2026-09-23","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","13072","should display invalid credentials error when submitting login form with incorrect password","admin-user","2026-09-23","passed","2026-09-23","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","5087","verify page title is displayed correctly","admin-user","2026-09-23","passed","2026-09-23","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","14389","should load dashboard as the default page after successful login","admin-user","2026-09-23","passed","2026-09-23","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","17210","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-09-23","passed","2026-09-23","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
