"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17944","should display invalid credentials error when submitting login form with incorrect username and password","admin-user","2026-09-02","passed","2026-09-02","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","16467","should load dashboard as the default page after successful login","admin-user","2026-09-02","passed","2026-09-02","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","14078","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-09-02","passed","2026-09-02","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","5998","verify page title is displayed correctly","admin-user","2026-09-02","passed","2026-09-02","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","23368","Authenticate Admin User","setup-admin-user","2026-09-02","passed","2026-09-02","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","18949","should display invalid credentials error when submitting login form with incorrect password","admin-user","2026-09-02","passed","2026-09-02","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","19912","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-09-02","passed","2026-09-02","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","7939","should display required field errors when submitting login form without credentials","admin-user","2026-09-02","passed","2026-09-02","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
