"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14697","should load dashboard as the default page after successful login","admin-user","2026-06-01","passed","2026-06-01","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","6386","verify page title is displayed correctly","admin-user","2026-06-01","passed","2026-06-01","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","71243","Authenticate Admin User","setup-admin-user","2026-06-01","passed","2026-06-01","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","17021","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-06-01","passed","2026-06-01","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
