"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3008","should load dashboard as the default page after successful login","admin-user","2026-08-11","passed","2026-08-11","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","5248","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-08-11","passed","2026-08-11","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","3138","verify page title is displayed correctly","admin-user","2026-08-11","passed","2026-08-11","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","6796","Authenticate Admin User","setup-admin-user","2026-08-11","passed","2026-08-11","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
