"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4690","should load dashboard as the default page after successful login","general-user","2026-05-05","passed","2026-05-05","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","3675","should display invalid credentials error when submitting login form with incorrect password","general-user","2026-05-05","passed","2026-05-05","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","4251","Authenticate General User","setup-general-user","2026-05-05","passed","2026-05-05","","layers/ui/authentication/Auth.general-user.setup.ts","",""
"","2808","verify page title is displayed correctly","general-user","2026-05-05","passed","2026-05-05","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","2906","should display required field errors when submitting login form without credentials","general-user","2026-05-05","passed","2026-05-05","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","3594","should display invalid credentials error when submitting login form with incorrect username","general-user","2026-05-05","passed","2026-05-05","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","3609","should display invalid credentials error when submitting login form with incorrect username and password","general-user","2026-05-05","passed","2026-05-05","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","5674","should display invalid credentials error when submitting login form with incorrect username","general-user","2026-05-05","passed","2026-05-05","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
