"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3148","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-05-07","passed","2026-05-07","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","5273","Authenticate Admin User","setup-admin-user","2026-05-07","passed","2026-05-07","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","2675","verify page title is displayed correctly","admin-user","2026-05-07","passed","2026-05-07","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","3331","should load dashboard as the default page after successful login","admin-user","2026-05-07","passed","2026-05-07","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
