"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11290","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-04-29","passed","2026-04-29","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","5019","verify page title is displayed correctly","admin-user","2026-04-29","passed","2026-04-29","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","14015","Authenticate Admin User","setup-admin-user","2026-04-29","passed","2026-04-29","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","10881","should load dashboard as the default page after successful login","admin-user","2026-04-29","passed","2026-04-29","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
