"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6206","should load dashboard as the default page after successful login","admin-user","2026-07-31","passed","2026-07-31","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","5672","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-07-31","passed","2026-07-31","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","3600","verify page title is displayed correctly","admin-user","2026-07-31","passed","2026-07-31","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","12303","Authenticate Admin User","setup-admin-user","2026-07-31","passed","2026-07-31","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
