"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3757","should load dashboard as the default page after successful login","admin-user","2026-05-31","passed","2026-05-31","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","4240","should display invalid credentials error when submitting login form with incorrect username and password","admin-user","2026-05-31","passed","2026-05-31","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","3644","should display invalid credentials error when submitting login form with incorrect password","admin-user","2026-05-31","passed","2026-05-31","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","3487","should display required field errors when submitting login form without credentials","admin-user","2026-05-31","passed","2026-05-31","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","5085","Authenticate Admin User","setup-admin-user","2026-05-31","passed","2026-05-31","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","2830","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-05-31","passed","2026-05-31","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","2107","verify page title is displayed correctly","admin-user","2026-05-31","passed","2026-05-31","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","4034","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-05-31","passed","2026-05-31","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
