"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27032","should load dashboard as the default page after successful login","admin-user","2026-05-12","passed","2026-05-12","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","15517","verify page title is displayed correctly","admin-user","2026-05-12","passed","2026-05-12","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","59369","Authenticate Admin User","setup-admin-user","2026-05-12","passed","2026-05-12","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
