"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","143720","Authenticate Admin User","setup-admin-user","2026-06-10","broken","2026-06-10","","layers/ui/authentication/Auth.admin-user.setup.ts","",""
"","0","should display required field errors when submitting login form without credentials","admin-user","2026-06-10","skipped","2026-06-10","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","12738","should load dashboard as the default page after successful login","admin-user","2026-06-10","passed","2026-06-10","Dashboard Test Suite","layers/ui/menuItems/Dashboard.spec.ts","",""
"","0","should display invalid credentials error when submitting login form with incorrect username and password","admin-user","2026-06-10","skipped","2026-06-10","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","14160","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-06-10","passed","2026-06-10","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","30890","should display invalid credentials error when submitting login form with incorrect password","admin-user","2026-06-10","passed","2026-06-10","Invalid Login Test Suite","layers/ui/login/InvalidLogin.spec.ts","",""
"","12553","should display invalid credentials error when submitting login form with incorrect username","admin-user","2026-06-10","passed","2026-06-10","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
"","4383","verify page title is displayed correctly","admin-user","2026-06-10","passed","2026-06-10","Valid Login Test Suite","layers/ui/login/ValidLogin.spec.ts","",""
